
		Serial		Static		dynamic		guided  	chunk	 N	Cores

	     115.839818,        0.000000,       0.000000,        0.000000,	1 	6250000, 	  1
	       0.000000,       35.749017,      35.624320,       35.644911,	1 	6250000, 	  2
	       0.000000,       18.448145,      18.369486,       18.400036,	1 	6250000, 	  4
	       0.000000,        9.085192,       9.081771,        9.100719,	1 	6250000, 	  8

	     116.762391,        0.000000,       0.000000,        0.000000,	2 	6250000, 	  1
	       0.000000,       36.163774,      36.194436,       36.289429,	2 	6250000, 	  2
	       0.000000,       18.440996,      18.395307,       18.405451,	2 	6250000, 	  4
	       0.000000,        9.195615,       9.080823,        9.086618,	2 	6250000, 	  8

	     116.376201,        0.000000,       0.000000,        0.000000,	4 	6250000, 	  1
	       0.000000,       36.292273,      36.312913,       36.245942,	4 	6250000, 	  2
	       0.000000,       18.506945,      18.466566,       18.424380,	4 	6250000, 	  4
	       0.000000,        9.189044,       9.112751,        9.094864,	4 	6250000, 	  8

	     117.531627,        0.000000,       0.000000,        0.000000,	8 	6250000, 	  1
	       0.000000,       35.955191,      36.262140,       36.179489,	8 	6250000, 	  2
	       0.000000,       18.498039,      18.428109,       18.462783,	8 	6250000, 	  4
	       0.000000,        9.163513,       9.202903,        9.209619,	8 	6250000, 	  8

	     117.360526,        0.000000,       0.000000,        0.000000,	16 	6250000, 	  1
	       0.000000,       35.561679,      35.504678,       35.645792,	16 	6250000, 	  2
	       0.000000,       18.615129,      18.450204,       18.509147,	16 	6250000, 	  4
	       0.000000,        9.299657,       9.222596,        9.239789,	16 	6250000, 	  8

	     116.910818,        0.000000,       0.000000,        0.000000,	32 	6250000, 	  1
	       0.000000,       36.163444,      36.202036,       36.228898,	32 	6250000, 	  2
	       0.000000,       18.815241,      18.784307,       18.664176,	32 	6250000, 	  4
	       0.000000,        9.335209,       9.314736,        9.292027,	32 	6250000, 	  8

	     116.956501,        0.000000,       0.000000,        0.000000,	64 	6250000, 	  1
	       0.000000,       36.644399,      36.703508,       36.224411,	64 	6250000, 	  2
	       0.000000,       18.937489,      18.918798,       18.556838,	64 	6250000, 	  4
	       0.000000,        9.369514,       9.349695,        9.733942,	64 	6250000, 	  8

	     117.398463,        0.000000,       0.000000,        0.000000,	128 	6250000, 	  1
	       0.000000,       36.694839,      36.494429,       36.010293,	128 	6250000, 	  2
	       0.000000,       18.874914,      18.911666,       19.135934,	128 	6250000, 	  4
	       0.000000,       11.375955,      11.177760,       10.761642,	128 	6250000, 	  8

	     118.133051,        0.000000,       0.000000,        0.000000,	256 	6250000, 	  1
	       0.000000,       36.992782,      37.139603,       36.475291,	256 	6250000, 	  2
	       0.000000,       22.421641,      22.354639,       21.274909,	256 	6250000, 	  4
	       0.000000,       14.653017,      14.748625,       14.744747,	256 	6250000, 	  8

	     114.995464,        0.000000,       0.000000,        0.000000,	512 	6250000, 	  1
	       0.000000,       41.805789,      42.607578,       36.603073,	512 	6250000, 	  2
	       0.000000,       27.852794,      27.835367,       24.682728,	512 	6250000, 	  4
	       0.000000,       15.094379,      15.064968,       15.125184,	512 	6250000, 	  8

	     115.636771,        0.000000,       0.000000,        0.000000,	1024 	6250000, 	  1
	       0.000000,       41.794516,      41.865228,       35.894091,	1024 	6250000, 	  2
	       0.000000,       29.896999,      30.100270,       30.299484,	1024 	6250000, 	  4
	       0.000000,       29.744278,      30.021022,       30.202727,	1024 	6250000, 	  8

	     116.185388,        0.000000,       0.000000,        0.000000,	2048 	6250000, 	  1
	       0.000000,       58.030441,      58.237879,       58.113968,	2048 	6250000, 	  2
	       0.000000,       57.980102,      57.577339,       57.663022,	2048 	6250000, 	  4
	       0.000000,       57.628442,      57.579658,       57.689355,	2048 	6250000, 	  8

	     117.549003,        0.000000,       0.000000,        0.000000,	4096 	6250000, 	  1
	       0.000000,       69.773077,      69.851281,       69.927088,	4096 	6250000, 	  2
	       0.000000,       69.812666,      69.875575,       69.818250,	4096 	6250000, 	  4
	       0.000000,       69.891593,      69.791217,       69.922959,	4096 	6250000, 	  8
