
Static program

Time		chunk	cores	N

101.616599	1	2	150
102.534856	1	4	150
104.034026	1	8	150

102.737561	2	2	150
103.509958	2	4	150
103.464947	2	8	150

103.238099	4	2	150
103.691862	4	4	150
103.778881	4	8	150

103.510039	8	2	150
103.042828	8	4	150
103.784321	8	8	150

103.774343	16	2	150
103.629965	16	4	150
103.886138	16	8	150

103.291325	32	2	150
103.672438	32	4	150
102.435345	32	8	150

102.308915	64	2	150
103.846106	64	4	150
103.455021	64	8	150

103.286310	128	2	150
103.554576	128	4	150
103.375463	128	8	150

103.770618	256	2	150
103.475361	256	4	150
103.470706	256	8	150

105.094997	512	2	150
104.228676	512	4	150
103.954788	512	8	150

102.966552	1024	2	150
103.039739	1024	4	150
103.268511	1024	8	150

103.399053	2048	2	150
105.457672	2048	4	150
104.032019	2048	8	150

101.618547	4096	2	150
103.651035	4096	4	150
103.723157	4096	8	150
