
guided program

Time		chunk	cores	N

103.905578	1	2	150
174.790955	1	4	150
103.694589	1	8	150

104.114122	2	2	150
104.284045	2	4	150
104.142863	2	8	150

103.998867	4	2	150
104.447212	4	4	150
104.199320	4	8	150

105.476829	8	2	150
104.506285	8	4	150
103.473268	8	8	150

104.395476	16	2	150
105.450229	16	4	150
182.571455	16	8	150

104.154729	32	2	150
104.172411	32	4	150
104.392602	32	8	150

103.825506	64	2	150
103.496950	64	4	150
104.077992	64	8	150

103.819371	128	2	150
104.197333	128	4	150
104.113168	128	8	150

104.006240	256	2	150
104.311346	256	4	150
192.157821	256	8	150

104.336947	512	2	150
104.178452	512	4	150
103.786861	512	8	150

103.742064	1024	2	150
103.814246	1024	4	150
104.217076	1024	8	150

104.398358	2048	2	150
103.506919	2048	4	150
104.007267	2048	8	150

104.245933	4096	2	150
104.504338	4096	4	150
104.528016	4096	8	150
