
dynamic program

Time		chunk	cores	N

103.239954	1	2	150
103.512456	1	4	150
102.992999	1	8	150

102.836361	2	2	150
202.188021	2	4	150
103.438067	2	8	150

103.320246	4	2	150
188.318632	4	4	150
102.631376	4	8	150

102.569073	8	2	150
103.215998	8	4	150
103.067896	8	8	150

103.287296	16	2	150
102.837232	16	4	150
102.871303	16	8	150

103.038574	32	2	150
103.091187	32	4	150
103.249814	32	8	150

188.483468	64	2	150
189.438887	64	4	150
189.640487	64	8	150

102.916470	128	2	150
102.965329	128	4	150
103.384840	128	8	150

103.262602	256	2	150
103.464950	256	4	150
103.176648	256	8	150

186.450229	512	2	150
183.560358	512	4	150
102.657988	512	8	150

102.856061	1024	2	150
102.996620	1024	4	150
102.401701	1024	8	150

101.975649	2048	2	150
101.619817	2048	4	150
103.046175	2048	8	150

102.850374	4096	2	150
103.965229	4096	4	150
102.904345	4096	8	150
